arch,experiment,loss,train/total_time_minutes,test/best_dice,test/best_iou
UNet,Debug,BCE,1.197794795036316,0.8994728326797485,0.8817442059516907
LinkNet,Exp_10,02BCE_08dice,10.57243537902832,0.956557035446167,0.920767068862915
UNet,Exp_1,BCE,11.827361106872559,0.9505549669265747,0.9238097667694092
UNet,Exp_2,dice,11.874905586242676,0.956721842288971,0.9197729229927063
UNet,Exp_3,05BCE_05dice,11.76403522491455,0.9577664732933044,0.9232578873634338
UNet,Exp_4,08BCE_02dice,11.79239559173584,0.954026460647583,0.9212420582771301
UNet,Exp_5,02BCE_08dice,11.789162635803223,0.9556839466094971,0.9186577796936035
LinkNet,Exp_6,BCE,10.555523872375488,0.9482241272926331,0.9228352308273315
LinkNet,Exp_7,dice,10.493895530700684,0.9571150541305542,0.9202331304550171
LinkNet,Exp_8,05BCE_05dice,10.543041229248047,0.9560534358024597,0.9207319021224976
LinkNet,Exp_9,08BCE_02dice,10.634916305541992,0.9561601877212524,0.924649715423584
LinkNet,TorchCompile,02BCE_08dice,10.651833534240723,0.9577538371086121,0.9219632744789124
